epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3051,2.47526,3.65196,1.57252,0.34714,0.12118,0.23362,0.12251,1.45058,2.90447,1.065,0.000328889,0.000328889,0.000328889
2,48.5334,1.60222,2.12116,1.1122,0.57658,0.63322,0.633,0.36661,1.33033,1.62422,1.01804,0.00066206,0.00066206,0.00066206
3,68.9964,1.48106,1.74672,1.0793,0.72082,0.67898,0.74073,0.37228,1.42485,1.50175,1.05716,0.000994583,0.000994583,0.000994583
4,89.7722,1.45111,1.5473,1.05732,0.7629,0.71826,0.81046,0.45619,1.30065,1.29724,1.00937,0.000997803,0.000997803,0.000997803
5,110.99,1.4215,1.46158,1.05502,0.79195,0.77171,0.8303,0.41217,1.5252,1.22106,1.07638,0.000996097,0.000996097,0.000996097
6,131.861,1.37357,1.35454,1.03875,0.438,0.42954,0.36199,0.10184,2.20925,2.14467,1.30738,0.000993906,0.000993906,0.000993906
7,153.18,1.37068,1.32326,1.04981,0.86537,0.81518,0.89325,0.53168,1.24058,1.05479,1.00153,0.000991232,0.000991232,0.000991232
8,174.146,1.33903,1.22435,1.03394,0.84845,0.82764,0.89094,0.43927,1.54694,1.13233,1.10551,0.000988079,0.000988079,0.000988079
9,195.851,1.32386,1.21459,1.03259,0.77777,0.70936,0.76867,0.31973,1.72272,1.42727,1.14175,0.000984449,0.000984449,0.000984449
10,216.558,1.31105,1.1334,1.01967,0.81945,0.78434,0.81458,0.28455,2.02771,1.46553,1.26178,0.000980345,0.000980345,0.000980345
11,237.657,1.30478,1.11701,1.01558,0.85665,0.82989,0.90539,0.54066,1.24637,0.9878,1.02323,0.000975773,0.000975773,0.000975773
12,258.333,1.27786,1.04859,1.0129,0.92974,0.88208,0.94728,0.59786,1.15824,0.82111,0.97855,0.000970736,0.000970736,0.000970736
13,279.333,1.25366,1.01964,1.00388,0.91092,0.83829,0.91871,0.50897,1.37846,0.91427,1.04196,0.000965239,0.000965239,0.000965239
14,300.34,1.24865,0.99775,1.00271,0.86702,0.836,0.88649,0.37071,1.74428,1.12784,1.15412,0.000959289,0.000959289,0.000959289
15,321.493,1.26255,1.0081,1.00493,0.80506,0.75301,0.77437,0.28695,1.88799,1.26389,1.22338,0.000952889,0.000952889,0.000952889
16,342.871,1.28512,1.01426,1.00486,0.93344,0.87979,0.94256,0.57963,1.21037,0.84651,0.97974,0.000946048,0.000946048,0.000946048
17,364.342,1.242,0.98451,0.9939,0.8662,0.82725,0.87011,0.34569,1.90965,1.08085,1.22551,0.000938772,0.000938772,0.000938772
18,385.56,1.23923,0.95967,0.99966,0.90489,0.87073,0.92874,0.46579,1.40716,1.03211,1.04693,0.000931067,0.000931067,0.000931067
19,406.642,1.21042,0.91794,0.98991,0.79839,0.6937,0.74402,0.27199,2.17708,1.15825,1.31839,0.000922942,0.000922942,0.000922942
20,427.709,1.23226,0.92044,0.99359,0.70771,0.61042,0.60026,0.15152,2.63882,1.40362,1.61146,0.000914405,0.000914405,0.000914405
21,448.75,1.20849,0.91333,0.98914,0.87018,0.84978,0.87224,0.3489,1.84058,1.03442,1.18983,0.000905463,0.000905463,0.000905463
22,470.29,1.20439,0.8968,0.99226,0.78162,0.75629,0.74549,0.25239,2.08199,1.25294,1.27132,0.000896127,0.000896127,0.000896127
